Track name, Artist name, Album, Playlist name, Type
Love Is All Around by Wet Wet Wet | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Whats Up by 4 Non Blondes | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Hound Dog Easy Guitar Lesson | Elvis Presley,,,Beginner Songs on Guitar,Playlist track
Substitute by The Who | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
I Walk The Line by Johnny Cash | Easy 3-Chord Song Lesson,,,Beginner Songs on Guitar,Playlist track
Lay Down Sally Lesson - Easy Eric Clapton Songs On Guitar!,,,Beginner Songs on Guitar,Playlist track
Baby One More Time Easy Pop Guitar Lesson | Britney Spears,,,Beginner Songs on Guitar,Playlist track
Hallelujah by Leonard Cohen | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Lucky Man by The Verve | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Stuck In The Middle With You | Easy Guitar Lesson - Stealers Wheels,,,Beginner Songs on Guitar,Playlist track
How To Save A Life Easy Guitar Lesson | The Fray,,,Beginner Songs on Guitar,Playlist track
Love Me Do Easy Guitar Lesson | The Beatles,,,Beginner Songs on Guitar,Playlist track
Thatll Be The Day by Buddy Holly | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Have a Nice Day - Stereophonics | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Imagine by John Lennon | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
A Girl Like You  Easy Guitar Lesson | Edwyn Collins,,,Beginner Songs on Guitar,Playlist track
This Years Love Easy Guitar Lesson | David Gray,,,Beginner Songs on Guitar,Playlist track
Folsom Prison Blues Easy Guitar Lesson | Johnny Cash,,,Beginner Songs on Guitar,Playlist track
Live Forever by Oasis | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Let It Be Easy Guitar Lesson The Beatles,,,Beginner Songs on Guitar,Playlist track
California Dreamin by The Mamas & The Papas | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Louie Louie Easy Guitar Lesson | The Kingsmen,,,Beginner Songs on Guitar,Playlist track
How to play Yellow Submarine by The Beatles on guitar,,,Beginner Songs on Guitar,Playlist track
How to play The Gambler by Kenny Rogers on guitar,,,Beginner Songs on Guitar,Playlist track
Fields Of Gold Easy Guitar Lesson | Sting,,,Beginner Songs on Guitar,Playlist track
Going Down Slow - Blues Standard | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Wild Thing Easy Guitar Chords | The Troggs,,,Beginner Songs on Guitar,Playlist track
Back To December by Taylor Swift | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
You're Beautiful by James Blunt | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Wanted Dead or Alive by Bon Jovi | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Brown Eyed Girl Guitar Lesson | Van Morrison,,,Beginner Songs on Guitar,Playlist track
How to play Common People by Pulp | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Redemption Song by Bob Marley | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Hurt by Johnny Cash | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Romeo and Juliet on guitar | Dire Straits - Mark Knopfler,,,Beginner Songs on Guitar,Playlist track
Black Night by Deep Purple | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
How to play Smokestack Lightning by Hubert Sumlin | Riff Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Harvest by Neil Young | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Working Class Hero - John Lennon | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
How to play Feelin Alright by Joe Cocker/Traffic on guitar,,,Beginner Songs on Guitar,Playlist track
Twist And Shout Easy Guitar Lesson | The Beatles,,,Beginner Songs on Guitar,Playlist track
American Pie - Don McLean (Songs Guitar Lesson BS-904) How to play,,,Beginner Songs on Guitar,Playlist track
Have You Ever Seen The Rain | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Peggy Sue Easy Guitar Lesson | Buddy Holly,,,Beginner Songs on Guitar,Playlist track
How to play Trouble by Coldplay | JustinGuitar Original Lesson,,,Beginner Songs on Guitar,Playlist track
